Epoch, 4-bit, 8-bit, 12-bit, 16-bit, 32-bit
63,0.7431,0.8509,0.8360,0.8463,0.8486,
64,0.7466,0.8440,0.8486,0.8521,0.8544,
65,0.7534,0.8498,0.8475,0.8394,0.8521,
66,0.7374,0.8314,0.8463,0.8440,0.8532,
67,0.7454,0.8337,0.8417,0.8463,0.8383,
68,0.7328,0.8475,0.8360,0.8463,0.8394,
69,0.7546,0.8337,0.8486,0.8417,0.8394,
70,0.7397,0.8406,0.8337,0.8509,0.8417,
71,0.7305,0.8326,0.8394,0.8498,0.8440,
72,0.7466,0.8429,0.8383,0.8498,0.8452,
73,0.7408,0.8440,0.8406,0.8463,0.8452,
74,0.7374,0.8509,0.8417,0.8475,0.8475,
75,0.7420,0.8440,0.8406,0.8337,0.8360,
76,0.7385,0.8257,0.8544,0.8521,0.8383,
77,0.7523,0.8394,0.8360,0.8452,0.8429,
78,0.7546,0.8475,0.8452,0.8486,0.8509,
79,0.7546,0.8429,0.8326,0.8394,0.8498,
80,0.7500,0.8440,0.8417,0.8326,0.8429,
81,0.7397,0.8429,0.8406,0.8406,0.8452,
82,0.7454,0.8498,0.8440,0.8463,0.8498,
83,0.7534,0.8440,0.8394,0.8429,0.8429,
84,0.7466,0.8589,0.8349,0.8429,0.8509,
85,0.7500,0.8440,0.8326,0.8429,0.8372,
86,0.7397,0.8498,0.8612,0.8498,0.8440,
87,0.7500,0.8498,0.8498,0.8544,0.8429,
88,0.7454,0.8440,0.8440,0.8475,0.8475,
89,0.7580,0.8555,0.8498,0.8417,0.8509,
90,0.7489,0.8440,0.8555,0.8578,0.8555,
91,0.7339,0.8394,0.8360,0.8440,0.8406,
92,0.7443,0.8326,0.8440,0.8406,0.8452,
93,0.7454,0.8429,0.8521,0.8417,0.8372,
94,0.7466,0.8291,0.8394,0.8406,0.8394,
95,0.7271,0.8429,0.8521,0.8383,0.8486,
96,0.7385,0.8475,0.8417,0.8452,0.8486,
97,0.7362,0.8326,0.8417,0.8417,0.8486,
98,0.7420,0.8394,0.8475,0.8440,0.8544,
99,0.7431,0.8498,0.8372,0.8406,0.8383,
